scenario,model,macro_precision,macro_recall,macro_f1,weighted_f1,accuracy
baseline_bigram,linear_svm,0.8716939815050975,0.7602301521159011,0.8038851504896369,0.943489175920372,0.9480574324324323
baseline_bigram,logistic_regression,0.9151783137938037,0.6982021900955153,0.7612006274416152,0.9349850758373378,0.944679054054054
baseline_bigram,naive_bayes,0.9476269664252018,0.5925613434136807,0.6374236216374111,0.9079809307637602,0.930320945945946
feature_selection_k_5000,linear_svm,0.8827262984046665,0.7667266650901774,0.812046124141603,0.9458847061345614,0.9503096846846848
feature_selection_k_5000,logistic_regression,0.9231493934656734,0.6977575589212834,0.762109966257557,0.9353994618086056,0.9452421171171173
feature_selection_k_5000,naive_bayes,0.9502346465816918,0.658588690144111,0.7234748655614924,0.9271054250092754,0.941019144144144
