cluster_id,size,top_terms,representative_review_1,representative_review_2,representative_review_3
cluster_0,3007,"breakfast, expensive, included, breakfast expensive, breakfast included, price, poor, good, room, buffet, better, food",Breakfast,Breakfast,No vetgtebls in breakfast
cluster_1,27447,"room, hotel, staff, bed, good, like, didn, bathroom, really, bar, shower, night",no wheatabix,All gud,Everything
cluster_2,1087,"rooms, small, rooms small, small rooms, rooms little, little, need, little small, room, bigger, hotel, rooms need",Small apace rooms,rooms are elegants but very small,Rooms are VERY small
cluster_3,1676,"small, room, room small, small room, size, bathroom, size room, little small, room size, bed, small bathroom, bathroom small",Room was small but that s all,Room is small,Room very small
cluster_4,1871,"bit, bit small, room bit, little bit, room, little, small, bit far, bit expensive, bit noisy, far, rooms bit",A bit cliche but why not,A bit overprices,A bit overprices
