cluster_id,size,top_terms,representative_review_1,representative_review_2,representative_review_3
cluster_0,366,"like, didn like, didn, did like, wasn didn, like hotel, wasn, did, didnt like, hotel, thing didn, didnt",Nothing I didn t like,There was nothing we didn t like,Not much that I didn t like
cluster_1,8282,"room, service, small, hotel, bed, room service, size, bathroom, night, coffee, tea, view",The room,Itsy botsy room,Room
cluster_2,1435,"wifi, air, air conditioning, conditioning, room, free, free wifi, poor, slow, work, connection, wifi connection",Wifi tempermental,WIFI,Wifi
cluster_3,19397,"hotel, staff, good, bit, rooms, bed, bar, really, bathroom, location, little, shower",All of it,It was overcrowd,There was not anything
cluster_4,2016,"small, room small, room, small room, rooms, rooms small, small rooms, bit small, bathroom, bit, little small, little",Room was on the small side,The room is small,Room too small
cluster_5,2980,"breakfast, expensive, included, breakfast expensive, breakfast included, price, poor, good, buffet, better, food, breakfast poor",no breakfast in the uberprice,The breakfast,Breakfast
cluster_6,612,"parking, car, expensive, park, parking expensive, hotel, car parking, car park, free, free parking, expensive parking, day",parking,Parking,Parking none
