cluster_id,size,top_terms,representative_review_1,representative_review_2,representative_review_3
cluster_0,7510,"room, small, service, room service, air, size, bathroom, coffee, night, tea, noisy, view",The room,two armchairs in the room rather than one,No minbar in the room
cluster_1,4464,"hotel, like, didn, didn like, room, star, staff, star hotel, rooms, stay, did, really",Everything about the hotel,everything about the hotel,Everything of the hotel
cluster_2,1842,"small, room small, room, small room, rooms, rooms small, small rooms, bit small, bathroom, bit, little small, little",Room is small,Room was to small,room was very small
cluster_3,2819,"breakfast, expensive, included, breakfast expensive, breakfast included, price, poor, good, buffet, better, breakfast poor, food",no breakfast in the uberprice,breakfast,No oatmeal for breakfast
cluster_4,1614,"bed, room, double, hard, uncomfortable, comfortable, small, double bed, bed comfortable, beds, bed hard, soft",The bed,Bed,Bed
cluster_5,16839,"staff, good, bit, rooms, bar, bathroom, really, shower, wifi, location, little, great",WE WERE VERY DISATISFIED WITH THE CHAMBERMAID,Nothing at all,Nothing at all
