cluster_id,size,top_terms,representative_review_1,representative_review_2,representative_review_3
cluster_0,7968,"hotel, staff, rooms, bit, bar, bathroom, wifi, bed, location, really, shower, little",See above,WIRELESS,Nothing at all
cluster_1,249,"good, breakfast good, breakfast, room, good value, wifi good, food, wasn good, location, value, restaurant, wifi",All good,All good,All good
cluster_2,171,"like, didn like, didn, did like, wasn didn, wasn, did, like hotel, hotel, thing, didnt like, thing didn",Nothing I didn t like,There was nothing we didn t like,There was nothing I didn t like
cluster_3,1285,"breakfast, expensive, included, breakfast expensive, breakfast included, price, poor, better, bit, buffet, room, food",Breakfast,Breakfast,Breakfast
cluster_4,907,"small, room, room small, small room, rooms, rooms small, small rooms, bit small, little small, bathroom, bit, little",room was soooo small,The room was not well illuminated and small,The room is too small
cluster_5,3489,"room, air, hotel, bed, service, small, noisy, room service, bathroom, night, size, conditioning",The room,L argent room,The room
