cluster_id,size,top_terms,representative_review_1,representative_review_2,representative_review_3
cluster_0,1339,"breakfast, expensive, included, breakfast expensive, breakfast included, price, poor, good, better, room, buffet, food",Breakfast,breakfast,Breakfast
cluster_1,1851,"hotel, room, star, staff, star hotel, night, rooms, stay, booking, really, like, bit",Everything of the hotel,Hotel next to a brothel,Crowd in front hotel
cluster_2,168,"like, didn like, didn, did like, did, wasn, wasn didn, like hotel, didnt like, hotel, thing, thing didn",Nothing I didn t like,There was nothing we didn t like,There was nothing I didn t like
cluster_3,1034,"small, room, room small, small room, rooms, rooms small, small rooms, bit small, bathroom, little small, bit, little",The room was not well illuminated and small,room was soooo small,The room is too small
cluster_4,9677,"room, staff, bit, bed, bathroom, rooms, good, shower, bar, wifi, little, really",There was nothing at all,See above,Nothing at all
