feature_selection_k,model,macro_precision,macro_recall,macro_f1,weighted_f1,accuracy,output_dir
0,linear_svm,0.8716939815050975,0.7602301521159011,0.8038851504896369,0.943489175920372,0.9480574324324323,outputs/feature_selection/baseline
5000,linear_svm,0.8827262984046665,0.7667266650901774,0.812046124141603,0.9458847061345614,0.9503096846846848,outputs/feature_selection/k_5000
10000,linear_svm,0.8713600449921575,0.7594009647195494,0.8031742760712013,0.9433073390607049,0.9479166666666666,outputs/feature_selection/k_10000
20000,linear_svm,0.8716939815050975,0.7602301521159011,0.8038851504896369,0.943489175920372,0.9480574324324323,outputs/feature_selection/k_20000
30000,linear_svm,0.8716939815050975,0.7602301521159011,0.8038851504896369,0.943489175920372,0.9480574324324323,outputs/feature_selection/k_30000
