cluster_id,size,top_terms,representative_review_1,representative_review_2,representative_review_3
cluster_0,499,"bar, mini bar, mini, prices, drinks, area, expensive, bar area, bar prices, staff, hotel, room",the drunks in the bar,the bar,Bar priceses
cluster_1,3274,"room, small, hotel, bed, service, size, bathroom, room service, noisy, night, air, did",Room is not clein,The room,L argent room
cluster_2,170,"like, didn like, didn, did like, did, wasn didn, wasn, thing, like hotel, didnt like, hotel, thing didn",Nothing I didn t like,There was nothing we didn t like,There was nothing I didn t like
cluster_3,433,"small, room small, room, small room, bathroom, small bathroom, bed, bathroom small, quite small, quite, little small, bed small",room is very small,Room small,The room is too small
cluster_4,1227,"breakfast, expensive, included, breakfast expensive, breakfast included, price, poor, good, better, buffet, room, food",Breakfast,The breakfast,No breakfast
cluster_5,692,"bit, bit small, room bit, little bit, room, small, little, bit expensive, bit far, bit noisy, rooms bit, far",Some of the paintings are bit abusive,A bit overprices,Bit of a warren
cluster_6,636,"rooms, small, rooms small, good, small rooms, old, need, room, rooms little, little, noisy, little small",rooms are elegants but very small,Small apace rooms,Rooms
cluster_7,7138,"hotel, staff, bathroom, wifi, bed, location, shower, really, little, check, parking, great",Nothing at all,Curatenia apartamentului nu exceleaza si cu miros de tigara Gresie in baie crapata si desprinsa,Nathing
