cluster_id,size,top_terms,representative_review_1,representative_review_2,representative_review_3
cluster_0,21553,"room, staff, bathroom, bit, shower, little, wifi, bar, didn, service, noisy, night",Nothing x,Nothing all,No remarks
cluster_1,783,"coffee, tea, tea coffee, room, facilities, size, making, facilities room, making facilities, size room, coffee making, coffee room",no tea or coffee,no tea coffee makeing facilitys,There were no tea coffee making facilities in room
cluster_2,309,"good, really, breakfast good, breakfast, really good, wifi good, service good, dislike, complaints, thing good, good location, wifi",All good,All good,Everything was good
cluster_3,1659,"bed, room, double, hard, uncomfortable, double bed, comfortable, small, bed comfortable, beds, soft, bed hard",A stiffer bed,the bed,Bed
cluster_4,1478,"small, room, room small, small room, bit small, bathroom, bit, little small, room bit, small bathroom, room little, little",Room too small,Room is small,Room rather small
cluster_5,787,"expensive, breakfast expensive, breakfast, bit expensive, parking, expensive breakfast, bit, little expensive, parking expensive, bar, quite expensive, little",Expensive,It s expensive,Expensive
cluster_6,2690,"breakfast, included, breakfast included, price, poor, room, better, food, buffet, good, breakfast poor, breakfast room",no breakfast in the uberprice,prize without breakfast,Breakfast
cluster_7,1372,"rooms, small, rooms small, like, small rooms, didn like, didn, rooms bit, bit, rooms little, little, bit small",Small apace rooms,rooms are elegants but very small,Rooms
cluster_8,4457,"hotel, room, star, staff, star hotel, stay, like, didn, night, rooms, booking, really",Everything about the hotel,Everything of the hotel,the beaches around hotel
