cluster_id,size,top_terms,representative_review_1,representative_review_2,representative_review_3
cluster_0,2070,"staff, friendly, reception, rude, helpful, room, reception staff, staff friendly, breakfast, check, hotel, service",More staff at lunchtime,Staff,Staff
cluster_1,2913,"breakfast, expensive, price, included, breakfast expensive, breakfast included, poor, good, room, better, buffet, food",prize without breakfast,no breakfast in the uberprice,Breakfast
cluster_2,5137,"hotel, bit, room, far, little, location, star, city, rooms, star hotel, night, little bit",Everything of the hotel,everything about the hotel,Everything about the hotel
cluster_3,20100,"room, good, bathroom, shower, like, rooms, didn, wifi, really, bar, service, little",Notmuch,one elvatour,All
cluster_4,2287,"small, room, room small, small room, rooms, rooms small, bit small, small rooms, size, bathroom, bit, little small",Room is small,room is too small,room are very small
cluster_5,777,"air, conditioning, air conditioning, room, hot, noisy, warm, window, air conditioner, work, night, open",No air conditioning,No air conditioning,No Air Conditioning
cluster_6,1652,"bed, room, double, hard, uncomfortable, comfortable, double bed, small, bed comfortable, beds, bed hard, soft",A stiffer bed,The bed,Bed
cluster_7,152,"perfect, just perfect, perfect stay, thing perfect, hotel perfect, stay, just, stay perfect, fault, thing, hotel, really",Nothing it seemed perfect to us,Everything was perfect,Everything was perfect
